"","Population","Sex"
"NA12004","CEU","FEMALE"
"NA12006","CEU","FEMALE"
"NA12043","CEU","MALE"
"NA12044","CEU","FEMALE"
"NA12045","CEU","MALE"
"NA12058","CEU","FEMALE"
"NA12144","CEU","MALE"
"NA12154","CEU","MALE"
"NA12155","CEU","MALE"
"NA12249","CEU","FEMALE"
"NA12272","CEU","MALE"
"NA12273","CEU","FEMALE"
"NA12275","CEU","FEMALE"
"NA12282","CEU","MALE"
"NA12283","CEU","FEMALE"
"NA12286","CEU","MALE"
"NA12287","CEU","FEMALE"
"NA12340","CEU","MALE"
"NA12341","CEU","FEMALE"
"NA12342","CEU","MALE"
"NA12347","CEU","MALE"
"NA12348","CEU","FEMALE"
"NA12383","CEU","FEMALE"
"NA12399","CEU","MALE"
"NA12400","CEU","FEMALE"
"NA12413","CEU","MALE"
"NA12489","CEU","FEMALE"
"NA12546","CEU","MALE"
"NA12716","CEU","MALE"
"NA12717","CEU","FEMALE"
"NA12718","CEU","FEMALE"
"NA12749","CEU","FEMALE"
"NA12750","CEU","MALE"
"NA12751","CEU","FEMALE"
"NA12761","CEU","FEMALE"
"NA12763","CEU","FEMALE"
"NA12775","CEU","MALE"
"NA12777","CEU","MALE"
"NA12778","CEU","FEMALE"
"NA12812","CEU","MALE"
"NA12814","CEU","MALE"
"NA12815","CEU","FEMALE"
"NA12827","CEU","MALE"
"NA12829","CEU","MALE"
"NA12830","CEU","FEMALE"
"NA12842","CEU","MALE"
"NA12843","CEU","FEMALE"
"NA12872","CEU","MALE"
"NA12873","CEU","FEMALE"
"NA12874","CEU","MALE"
"NA12889","CEU","MALE"
"NA12890","CEU","FEMALE"
"NA20502","TSI","FEMALE"
"NA20503","TSI","FEMALE"
"NA20504","TSI","FEMALE"
"NA20505","TSI","FEMALE"
"NA20506","TSI","FEMALE"
"NA20507","TSI","FEMALE"
"NA20508","TSI","FEMALE"
"NA20509","TSI","MALE"
"NA20510","TSI","MALE"
"NA20512","TSI","MALE"
"NA20513","TSI","MALE"
"NA20515","TSI","MALE"
"NA20516","TSI","MALE"
"NA20517","TSI","FEMALE"
"NA20518","TSI","MALE"
"NA20519","TSI","MALE"
"NA20520","TSI","MALE"
"NA20521","TSI","MALE"
"NA20524","TSI","MALE"
"NA20525","TSI","MALE"
"NA20527","TSI","MALE"
"NA20528","TSI","MALE"
"NA20529","TSI","FEMALE"
"NA20530","TSI","FEMALE"
"NA20531","TSI","FEMALE"
"NA20532","TSI","MALE"
"NA20534","TSI","MALE"
"NA20535","TSI","FEMALE"
"NA20536","TSI","MALE"
"NA20537","TSI","MALE"
"NA20538","TSI","MALE"
"NA20539","TSI","MALE"
"NA20540","TSI","FEMALE"
"NA20541","TSI","FEMALE"
"NA20542","TSI","FEMALE"
"NA20543","TSI","MALE"
"NA20544","TSI","MALE"
"NA20581","TSI","MALE"
"NA20582","TSI","FEMALE"
"NA20585","TSI","FEMALE"
"NA20586","TSI","MALE"
"NA20588","TSI","MALE"
"NA20589","TSI","FEMALE"
"NA20752","TSI","MALE"
"NA20754","TSI","MALE"
"NA20756","TSI","FEMALE"
"NA20757","TSI","FEMALE"
"NA20758","TSI","MALE"
"NA20759","TSI","MALE"
"NA20760","TSI","FEMALE"
"NA20761","TSI","FEMALE"
"NA20765","TSI","MALE"
"NA20766","TSI","FEMALE"
"NA20768","TSI","FEMALE"
"NA20769","TSI","FEMALE"
"NA20770","TSI","MALE"
"NA20771","TSI","FEMALE"
"NA20772","TSI","FEMALE"
"NA20773","TSI","FEMALE"
"NA20774","TSI","FEMALE"
"NA20778","TSI","MALE"
"NA20783","TSI","MALE"
"NA20785","TSI","MALE"
"NA20786","TSI","FEMALE"
"NA20787","TSI","MALE"
"NA20790","TSI","FEMALE"
"NA20792","TSI","MALE"
"NA20795","TSI","FEMALE"
"NA20796","TSI","MALE"
"NA20797","TSI","FEMALE"
"NA20798","TSI","MALE"
"NA20799","TSI","FEMALE"
"NA20800","TSI","FEMALE"
"NA20801","TSI","MALE"
"NA20802","TSI","FEMALE"
"NA20803","TSI","MALE"
"NA20804","TSI","FEMALE"
"NA20805","TSI","MALE"
"NA20806","TSI","MALE"
"NA20807","TSI","FEMALE"
"NA20808","TSI","FEMALE"
"NA20809","TSI","MALE"
"NA20810","TSI","MALE"
"NA20811","TSI","MALE"
"NA20812","TSI","MALE"
"NA20813","TSI","FEMALE"
"NA20814","TSI","MALE"
"NA20815","TSI","MALE"
"NA20816","TSI","MALE"
"NA20819","TSI","FEMALE"
"NA20826","TSI","FEMALE"
"NA20828","TSI","FEMALE"
